rank,weeks_on_list,primary_isbn10,primary_isbn13,publisher,title,author,date
13,3,1101884126,9781101884126,Delacorte,THE GOOD FIGHT,Danielle Steel,2018-08-14
14,8,0525520376,9780525520375,Knopf,THERE THERE,Tommy Orange,2018-08-14
15,26,0062678418,9780062678416,Morrow,THE WOMAN IN THE WINDOW,AJ Finn,2018-08-14
1,1,0062834827,9780062834829,Harper,THE OTHER WOMAN,Daniel Silva,2018-08-07
2,7,0316412694,9780316412698,"Little, Brown and Knopf",THE PRESIDENT IS MISSING,Bill Clinton and James Patterson,2018-08-07
3,1,0399181253,9780399181252,Ballantine,COTTAGE BY THE SEA,Debbie Macomber,2018-08-07
4,9,1501180983,9781501180989,Scribner,THE OUTSIDER,Stephen King,2018-08-07
5,5,0316375268,9780316375269,"Little, Brown",THE PERFECT COUPLE,Elin Hilderbrand,2018-08-07
6,4,0399178929,9780399178924,Ballantine,ALL WE EVER WANTED,Emily Giffin,2018-08-07
7,3,147678941X,9781476789415,Emily Bestler/Atria,SPYMASTER,Brad Thor,2018-08-07
8,2,0525655522,9780525655527,Knopf,CLOCK DANCE,Anne Tyler,2018-08-07
9,2,1101884126,9781101884126,Delacorte,THE GOOD FIGHT,Danielle Steel,2018-08-07
10,7,1476778442,9781476778440,Simon & Schuster,WHEN LIFE GIVES YOU LULULEMONS,Lauren Weisberger,2018-08-07
11,44,0425284689,9780425284681,Ballantine,BEFORE WE WERE YOURS,Lisa Wingate,2018-08-07
12,7,0525520376,9780525520375,Knopf,THERE THERE,Tommy Orange,2018-08-07
13,19,0312577230,9780312577230,St. Martin's,THE GREAT ALONE,Kristin Hannah,2018-08-07
14,25,0062678418,9780062678416,Morrow,THE WOMAN IN THE WINDOW,AJ Finn,2018-08-07
15,43,0735224293,9780735224292,Penguin Press,LITTLE FIRES EVERYWHERE,Celeste Ng,2018-08-07
1,6,0316412694,9780316412698,"Little, Brown and Knopf",THE PRESIDENT IS MISSING,Bill Clinton and James Patterson,2018-07-31
2,1,1101884126,9781101884126,Delacorte,THE GOOD FIGHT,Danielle Steel,2018-07-31
3,1,0525655522,9780525655527,Knopf,CLOCK DANCE,Anne Tyler,2018-07-31
4,8,1501180983,9781501180989,Scribner,THE OUTSIDER,Stephen King,2018-07-31
5,3,0399178929,9780399178924,Ballantine,ALL WE EVER WANTED,Emily Giffin,2018-07-31
6,4,0316375268,9780316375269,"Little, Brown",THE PERFECT COUPLE,Elin Hilderbrand,2018-07-31
7,1,0062660349,9780062660343,Morrow,THE SUMMER WIVES,Beatriz Williams,2018-07-31
8,1,0399180982,9780399180989,Del Rey,SPINNING SILVER,Naomi Novik,2018-07-31
9,2,147678941X,9781476789415,Emily Bestler/Atria,SPYMASTER,Brad Thor,2018-07-31
10,6,1476778442,9781476778440,Simon & Schuster,WHEN LIFE GIVES YOU LULULEMONS,Lauren Weisberger,2018-07-31
11,43,0425284689,9780425284681,Ballantine,BEFORE WE WERE YOURS,Lisa Wingate,2018-07-31
12,6,0525520376,9780525520375,Knopf,THERE THERE,Tommy Orange,2018-07-31
13,24,0062678418,9780062678416,Morrow,THE WOMAN IN THE WINDOW,AJ Finn,2018-07-31
14,42,0735224293,9780735224292,Penguin Press,LITTLE FIRES EVERYWHERE,Celeste Ng,2018-07-31
15,1,0525522115,9780525522119,Penguin Press,MY YEAR OF REST AND RELAXATION,Ottessa Moshfegh,2018-07-31
1,5,0316412694,9780316412698,"Little, Brown and Knopf",THE PRESIDENT IS MISSING,Bill Clinton and James Patterson,2018-07-24
2,1,147678941X,9781476789415,Emily Bestler/Atria,SPYMASTER,Brad Thor,2018-07-24
3,3,0316375268,9780316375269,"Little, Brown",THE PERFECT COUPLE,Elin Hilderbrand,2018-07-24
4,7,1501180983,9781501180989,Scribner,THE OUTSIDER,Stephen King,2018-07-24
5,2,0399178929,9780399178924,Ballantine,ALL WE EVER WANTED,Emily Giffin,2018-07-24
6,5,0525520376,9780525520375,Knopf,THERE THERE,Tommy Orange,2018-07-24
7,6,1501156217,9781501156212,Gallery/Scout,THE DEATH OF MRS. WESTAWAY,Ruth Ware,2018-07-24
8,5,1476778442,9781476778440,Simon & Schuster,WHEN LIFE GIVES YOU LULULEMONS,Lauren Weisberger,2018-07-24
9,12,1538761394,9781538761397,Grand Central,THE FALLEN,David Baldacci,2018-07-24
10,42,0425284689,9780425284681,Ballantine,BEFORE WE WERE YOURS,Lisa Wingate,2018-07-24
11,4,0735215928,9780735215924,Putnam,TOM CLANCY LINE OF SIGHT,Mike Maden,2018-07-24
12,5,1524797189,9781524797188,Ballantine,SOMETHING IN THE WATER,Catherine Steadman,2018-07-24
13,41,0735224293,9780735224292,Penguin Press,LITTLE FIRES EVERYWHERE,Celeste Ng,2018-07-24
14,6,1250161592,9781250161598,St. Martin's,SHELTER IN PLACE,Nora Roberts,2018-07-24
15,1,1524743070,9781524743079,Dutton,THE LAST TIME I LIED,Riley Sager,2018-07-24
1,4,0316412694,9780316412698,"Little, Brown and Knopf",THE PRESIDENT IS MISSING,Bill Clinton and James Patterson,2018-07-17
2,1,0399178929,9780399178924,Ballantine,ALL WE EVER WANTED,Emily Giffin,2018-07-17
3,6,1501180983,9781501180989,Scribner,THE OUTSIDER,Stephen King,2018-07-17
4,2,0316375268,9780316375269,"Little, Brown",THE PERFECT COUPLE,Elin Hilderbrand,2018-07-17
5,5,1250161592,9781250161598,St. Martin's,SHELTER IN PLACE,Nora Roberts,2018-07-17
6,3,0735215928,9780735215924,Putnam,TOM CLANCY LINE OF SIGHT,Mike Maden,2018-07-17
7,5,1501156217,9781501156212,Gallery/Scout,THE DEATH OF MRS. WESTAWAY,Ruth Ware,2018-07-17
8,4,0525520376,9780525520375,Knopf,THERE THERE,Tommy Orange,2018-07-17
9,4,1476778442,9781476778440,Simon & Schuster,WHEN LIFE GIVES YOU LULULEMONS,Lauren Weisberger,2018-07-17
10,41,0425284689,9780425284681,Ballantine,BEFORE WE WERE YOURS,Lisa Wingate,2018-07-17
11,4,1524797189,9781524797188,Ballantine,SOMETHING IN THE WATER,Catherine Steadman,2018-07-17
12,40,0735224293,9780735224292,Penguin Press,LITTLE FIRES EVERYWHERE,Celeste Ng,2018-07-17
13,11,1538761394,9781538761397,Grand Central,THE FALLEN,David Baldacci,2018-07-17
14,23,0062678418,9780062678416,Morrow,THE WOMAN IN THE WINDOW,AJ Finn,2018-07-17
15,18,0312577230,9780312577230,St. Martin's,THE GREAT ALONE,Kristin Hannah,2018-07-17
1,3,0316412694,9780316412698,"Little, Brown and Knopf",THE PRESIDENT IS MISSING,Bill Clinton and James Patterson,2018-07-10
2,1,0316375268,9780316375269,"Little, Brown",THE PERFECT COUPLE,Elin Hilderbrand,2018-07-10
3,5,1501180983,9781501180989,Scribner,THE OUTSIDER,Stephen King,2018-07-10
4,2,0735215928,9780735215924,Putnam,TOM CLANCY LINE OF SIGHT,Mike Maden,2018-07-10
5,4,1250161592,9781250161598,St. Martin's,SHELTER IN PLACE,Nora Roberts,2018-07-10
6,4,1501156217,9781501156212,Gallery/Scout,THE DEATH OF MRS. WESTAWAY,Ruth Ware,2018-07-10
7,3,1476778442,9781476778440,Simon & Schuster,WHEN LIFE GIVES YOU LULULEMONS,Lauren Weisberger,2018-07-10
8,3,0525520376,9780525520375,Knopf,THERE THERE,Tommy Orange,2018-07-10
9,40,0425284689,9780425284681,Ballantine,BEFORE WE WERE YOURS,Lisa Wingate,2018-07-10
10,10,1538761394,9781538761397,Grand Central,THE FALLEN,David Baldacci,2018-07-10
11,3,1524797189,9781524797188,Ballantine,SOMETHING IN THE WATER,Catherine Steadman,2018-07-10
12,1,0553391518,9780553391510,Del Rey,THE SKAAR INVASION,Terry Brooks,2018-07-10
13,1,1250151333,9781250151339,St. Martin's,BRING ME BACK,BA Paris,2018-07-10
14,39,0735224293,9780735224292,Penguin Press,LITTLE FIRES EVERYWHERE,Celeste Ng,2018-07-10
15,2,1455525820,9781455525829,Grand Central,THE PHARAOH KEY,Douglas Preston and Lincoln Child,2018-07-10
1,2,1780898401,9780316412698,"Little, Brown and Knopf",THE PRESIDENT IS MISSING,Bill Clinton and James Patterson,2018-07-03
2,4,1501180983,9781501180989,Scribner,THE OUTSIDER,Stephen King,2018-07-03
3,1,0735215928,9780735215924,Putnam,TOM CLANCY LINE OF SIGHT,Mike Maden,2018-07-03
4,1,1455525820,9781455525829,Grand Central,THE PHARAOH KEY,Douglas Preston and Lincoln Child,2018-07-03
5,3,1250161592,9781250161598,St. Martin's,SHELTER IN PLACE,Nora Roberts,2018-07-03
6,3,1501156217,9781501156212,Gallery/Scout,THE DEATH OF MRS. WESTAWAY,Ruth Ware,2018-07-03
7,9,1538761394,9781538761397,Grand Central,THE FALLEN,David Baldacci,2018-07-03
8,3,0735218730,9780735218734,Putnam,THE GRAY GHOST,Clive Cussler and Robin Burcell,2018-07-03
9,1,0399594094,9780399594090,Del Rey,BEFORE THE STORM,Christie Golden,2018-07-03
10,2,1476778442,9781476778440,Simon & Schuster,WHEN LIFE GIVES YOU LULULEMONS,Lauren Weisberger,2018-07-03
11,39,0425284689,9780425284681,Ballantine,BEFORE WE WERE YOURS,Lisa Wingate,2018-07-03
12,2,0525520376,9780525520375,Knopf,THERE THERE,Tommy Orange,2018-07-03
13,1,1524763551,9781524763558,SJP for Hogarth,A PLACE FOR US,Fatima Farheen Mirza,2018-07-03
14,7,0316274046,9780316274043,"Little, Brown",THE 17TH SUSPECT,James Patterson and Maxine Paetro,2018-07-03
15,2,1524797189,9781524797188,Ballantine,SOMETHING IN THE WATER,Catherine Steadman,2018-07-03
1,1,1780898401,9780316412698,"Little, Brown and Knopf",THE PRESIDENT IS MISSING,Bill Clinton and James Patterson,2018-06-26
2,3,1501180983,9781501180989,Scribner,THE OUTSIDER,Stephen King,2018-06-26
3,2,1250161592,9781250161598,St. Martin's,SHELTER IN PLACE,Nora Roberts,2018-06-26
4,2,1501156217,9781501156212,Gallery/Scout,THE DEATH OF MRS. WESTAWAY,Ruth Ware,2018-06-26
5,1,0451492102,9780451492104,Ace,BRIEF CASES,Jim Butcher,2018-06-26
6,8,1538761394,9781538761397,Grand Central,THE FALLEN,David Baldacci,2018-06-26
7,2,0735218730,9780735218734,Putnam,THE GRAY GHOST,Clive Cussler and Robin Burcell,2018-06-26
8,1,1476778442,9781476778440,Simon & Schuster,WHEN LIFE GIVES YOU LULULEMONS,Lauren Weisberger,2018-06-26
9,1,1501160796,9781501160790,Atria,US AGAINST YOU,Fredrik Backman,2018-06-26
10,1,0735219192,9780735219199,Putnam,TURBULENCE,Stuart Woods,2018-06-26
11,1,1524797189,9781524797188,Ballantine,SOMETHING IN THE WATER,Catherine Steadman,2018-06-26
12,6,0316274046,9780316274043,"Little, Brown",THE 17TH SUSPECT,James Patterson and Maxine Paetro,2018-06-26
13,1,0525520376,9780525520375,Knopf,THERE THERE,Tommy Orange,2018-06-26
14,38,0425284689,9780425284681,Ballantine,BEFORE WE WERE YOURS,Lisa Wingate,2018-06-26
15,38,0735224293,9780735224292,Penguin Press,LITTLE FIRES EVERYWHERE,Celeste Ng,2018-06-26
1,2,1501180983,9781501180989,Scribner,THE OUTSIDER,Stephen King,2018-06-19
2,1,1250161592,9781250161598,St. Martin's,SHELTER IN PLACE,Nora Roberts,2018-06-19
3,1,0735218730,9780735218734,Putnam,THE GRAY GHOST,Clive Cussler and Robin Burcell,2018-06-19
4,1,1501156217,9781501156212,Gallery/Scout,THE DEATH OF MRS. WESTAWAY,Ruth Ware,2018-06-19
5,1,1451687656,9781451687651,Howard,TO THE MOON AND BACK,Karen Kingsbury,2018-06-19
6,5,0316274046,9780316274043,"Little, Brown",THE 17TH SUSPECT,James Patterson and Maxine Paetro,2018-06-19
7,7,1538761394,9781538761397,Grand Central,THE FALLEN,David Baldacci,2018-06-19
8,3,0062390821,9780062390820,Morrow,BY INVITATION ONLY,Dorothea Benton Frank,2018-06-19
9,3,1101884037,9781101884034,Delacorte,THE CAST,Danielle Steel,2018-06-19
10,37,0425284689,9780425284681,Ballantine,BEFORE WE WERE YOURS,Lisa Wingate,2018-06-19
11,37,0735224293,9780735224292,Penguin Press,LITTLE FIRES EVERYWHERE,Celeste Ng,2018-06-19
12,4,1250126061,9781250126061,St. Martin's,THE HIGH TIDE CLUB,Mary Kay Andrews,2018-06-19
13,22,0062678418,9780062678416,Morrow,THE WOMAN IN THE WINDOW,AJ Finn,2018-06-19
14,17,0312577230,9780312577230,St. Martin's,THE GREAT ALONE,Kristin Hannah,2018-06-19
15,4,0525521194,9780525521198,Knopf,WARLIGHT,Michael Ondaatje,2018-06-19
1,1,1501180983,9781501180989,Scribner,THE OUTSIDER,Stephen King,2018-06-12
2,2,1101884037,9781101884034,Delacorte,THE CAST,Danielle Steel,2018-06-12
3,4,0316274046,9780316274043,"Little, Brown",THE 17TH SUSPECT,James Patterson and Maxine Paetro,2018-06-12
4,6,1538761394,9781538761397,Grand Central,THE FALLEN,David Baldacci,2018-06-12
5,2,0062390821,9780062390820,Morrow,BY INVITATION ONLY,Dorothea Benton Frank,2018-06-12
6,1,1501193295,9781501193293,Gallery,BEACH HOUSE REUNION,Mary Alice Monroe,2018-06-12
7,36,0425284689,9780425284681,Ballantine,BEFORE WE WERE YOURS,Lisa Wingate,2018-06-12
8,3,0525521194,9780525521198,Knopf,WARLIGHT,Michael Ondaatje,2018-06-12
9,3,1250126061,9781250126061,St. Martin's,THE HIGH TIDE CLUB,Mary Kay Andrews,2018-06-12
10,5,0735217351,9780735217355,Putnam,TWISTED PREY,John Sandford,2018-06-12
11,36,0735224293,9780735224292,Penguin Press,LITTLE FIRES EVERYWHERE,Celeste Ng,2018-06-12
12,16,0312577230,9780312577230,St. Martin's,THE GREAT ALONE,Kristin Hannah,2018-06-12
13,21,0062678418,9780062678416,Morrow,THE WOMAN IN THE WINDOW,AJ Finn,2018-06-12
14,3,052548342X,9780525483427,Bantam,THE CROOKED STAIRCASE,Dean Koontz,2018-06-12
15,1,1501153196,9781501153198,Simon & Schuster,THE FAVORITE SISTER,Jessica Knoll,2018-06-12
1,1,1101884037,9781101884034,Delacorte,THE CAST,Danielle Steel,2018-06-05
2,3,0316274046,9780316274043,"Little, Brown",THE 17TH SUSPECT,James Patterson and Maxine Paetro,2018-06-05
3,5,1538761394,9781538761397,Grand Central,THE FALLEN,David Baldacci,2018-06-05
4,1,0062390821,9780062390820,Morrow,BY INVITATION ONLY,Dorothea Benton Frank,2018-06-05
5,2,1250126061,9781250126061,St. Martin's,THE HIGH TIDE CLUB,Mary Kay Andrews,2018-06-05
6,4,0735217351,9780735217355,Putnam,TWISTED PREY,John Sandford,2018-06-05
7,35,0425284689,9780425284681,Ballantine,BEFORE WE WERE YOURS,Lisa Wingate,2018-06-05
8,35,0735224293,9780735224292,Penguin Press,LITTLE FIRES EVERYWHERE,Celeste Ng,2018-06-05
9,2,0525521194,9780525521198,Knopf,WARLIGHT,Michael Ondaatje,2018-06-05
10,2,052548342X,9780525483427,Bantam,THE CROOKED STAIRCASE,Dean Koontz,2018-06-05
11,20,0062678418,9780062678416,Morrow,THE WOMAN IN THE WINDOW,AJ Finn,2018-06-05
12,15,0312577230,9780312577230,St. Martin's,THE GREAT ALONE,Kristin Hannah,2018-06-05
13,3,1476756554,9781476756554,Scribner,THE MARS ROOM,Rachel Kushner,2018-06-05
14,1,1250149061,9781250149060,St. Martin's,HOW TO WALK AWAY,Katherine Center,2018-06-05
15,4,031647231X,9780316472319,"Little, Brown",THE HELLFIRE CLUB,Jake Tapper,2018-06-05
1,2,0316274046,9780316274043,"Little, Brown",THE 17TH SUSPECT,James Patterson and Maxine Paetro,2018-05-29
2,4,1538761394,9781538761397,Grand Central,THE FALLEN,David Baldacci,2018-05-29
3,1,1250126061,9781250126061,St. Martin's,THE HIGH TIDE CLUB,Mary Kay Andrews,2018-05-29
4,3,0735217351,9780735217355,Putnam,TWISTED PREY,John Sandford,2018-05-29
5,1,052548342X,9780525483427,Bantam,THE CROOKED STAIRCASE,Dean Koontz,2018-05-29
6,1,0525521194,9780525521198,Knopf,WARLIGHT,Michael Ondaatje,2018-05-29
7,34,0425284689,9780425284681,Ballantine,BEFORE WE WERE YOURS,Lisa Wingate,2018-05-29
8,34,0735224293,9780735224292,Penguin Press,LITTLE FIRES EVERYWHERE,Celeste Ng,2018-05-29
9,3,031647231X,9780316472319,"Little, Brown",THE HELLFIRE CLUB,Jake Tapper,2018-05-29
10,14,0312577230,9780312577230,St. Martin's,THE GREAT ALONE,Kristin Hannah,2018-05-29
11,19,0062678418,9780062678416,Morrow,THE WOMAN IN THE WINDOW,AJ Finn,2018-05-29
12,6,1501171682,9781501171680,Simon & Schuster,I'VE GOT MY EYES ON YOU,Mary Higgins Clark,2018-05-29
13,2,0062696793,9780062696793,Harper,THE PERFECT MOTHER,Aimee Molloy,2018-05-29
14,1,1101967382,9781101967386,Ballantine,LOVE AND RUIN,Paula McLain,2018-05-29
15,2,1476756554,9781476756554,Scribner,THE MARS ROOM,Rachel Kushner,2018-05-29
1,1,0316274046,9780316274043,"Little, Brown",THE 17TH SUSPECT,James Patterson and Maxine Paetro,2018-05-22
2,3,1538761394,9781538761397,Grand Central,THE FALLEN,David Baldacci,2018-05-22
3,2,0735217351,9780735217355,Putnam,TWISTED PREY,John Sandford,2018-05-22
4,1,1476756554,9781476756554,Scribner,THE MARS ROOM,Rachel Kushner,2018-05-22
5,1,0062696793,9780062696793,Harper,THE PERFECT MOTHER,Aimee Molloy,2018-05-22
6,1,1501111795,9781501111792,Simon & Schuster,THE FORGOTTEN ROAD,Richard Paul Evans,2018-05-22
7,1,0393652599,9780393652598,Norton,ADJUSTMENT DAY,Chuck Palahniuk,2018-05-22
8,33,0425284689,9780425284681,Ballantine,BEFORE WE WERE YOURS,Lisa Wingate,2018-05-22
9,33,0735224293,9780735224292,Penguin Press,LITTLE FIRES EVERYWHERE,Celeste Ng,2018-05-22
10,2,031647231X,9780316472319,"Little, Brown",THE HELLFIRE CLUB,Jake Tapper,2018-05-22
11,18,0062678418,9780062678416,Morrow,THE WOMAN IN THE WINDOW,AJ Finn,2018-05-22
12,13,0312577230,9780312577230,St. Martin's,THE GREAT ALONE,Kristin Hannah,2018-05-22
13,5,1501171682,9781501171680,Simon & Schuster,I'VE GOT MY EYES ON YOU,Mary Higgins Clark,2018-05-22
14,4,0316556343,9780316556347,"Little, Brown",CIRCE,Madeline Miller,2018-05-22
15,5,1594488401,9781594488405,Riverhead,THE FEMALE PERSUASION,Meg Wolitzer,2018-05-22
1,1,0735217351,9780735217355,Putnam,TWISTED PREY,John Sandford,2018-05-15
2,2,1538761394,9781538761397,Grand Central,THE FALLEN,David Baldacci,2018-05-15
3,1,031647231X,9780316472319,"Little, Brown",THE HELLFIRE CLUB,Jake Tapper,2018-05-15
4,32,0735224293,9780735224292,Penguin Press,LITTLE FIRES EVERYWHERE,Celeste Ng,2018-05-15
5,4,1501171682,9781501171680,Simon & Schuster,I'VE GOT MY EYES ON YOU,Mary Higgins Clark,2018-05-15
6,32,0425284689,9780425284681,Ballantine,BEFORE WE WERE YOURS,Lisa Wingate,2018-05-15
7,4,1594488401,9781594488405,Riverhead,THE FEMALE PERSUASION,Meg Wolitzer,2018-05-15
8,3,125009965X,9781250099655,St. Martin's,AFTER ANNA,Lisa Scottoline,2018-05-15
9,17,0062678418,9780062678416,Morrow,THE WOMAN IN THE WINDOW,AJ Finn,2018-05-15
10,12,0312577230,9780312577230,St. Martin's,THE GREAT ALONE,Kristin Hannah,2018-05-15
11,3,0316556343,9780316556347,"Little, Brown",CIRCE,Madeline Miller,2018-05-15
12,2,039363552X,9780393635522,Norton,THE OVERSTORY,Richard Powers,2018-05-15
13,58,0670026190,9780670026197,Viking,A GENTLEMAN IN MOSCOW,Amor Towles,2018-05-15
14,10,1616208775,9781616208776,Algonquin,AN AMERICAN MARRIAGE,Tayari Jones,2018-05-15
15,5,0399176624,9780399176623,Putnam,THE DISAPPEARED,CJ Box,2018-05-15
1,1,1538761394,9781538761397,Grand Central,THE FALLEN,David Baldacci,2018-05-08
2,2,125009965X,9781250099655,St. Martin's,AFTER ANNA,Lisa Scottoline,2018-05-08
3,1,0062433970,9780062433978,Morrow,NOIR,Christopher Moore,2018-05-08
4,3,1501171682,9781501171680,Simon & Schuster,I'VE GOT MY EYES ON YOU,Mary Higgins Clark,2018-05-08
5,3,1594488401,9781594488405,Riverhead,THE FEMALE PERSUASION,Meg Wolitzer,2018-05-08
6,31,0735224293,9780735224292,Penguin Press,LITTLE FIRES EVERYWHERE,Celeste Ng,2018-05-08
7,2,0316556343,9780316556347,"Little, Brown",CIRCE,Madeline Miller,2018-05-08
8,31,0425284689,9780425284681,Ballantine,BEFORE WE WERE YOURS,Lisa Wingate,2018-05-08
9,16,0062678418,9780062678416,Morrow,THE WOMAN IN THE WINDOW,AJ Finn,2018-05-08
10,11,0312577230,9780312577230,St. Martin's,THE GREAT ALONE,Kristin Hannah,2018-05-08
11,2,0735217203,9780735217201,Putnam,SHOOT FIRST,Stuart Woods,2018-05-08
12,1,039363552X,9780393635522,Norton,THE OVERSTORY,Richard Powers,2018-05-08
13,1,1501154648,9781501154645,Atria,THEN SHE WAS GONE,Lisa Jewell,2018-05-08
14,4,0399176624,9780399176623,Putnam,THE DISAPPEARED,CJ Box,2018-05-08
15,1,0525622136,9780525622130,Del Rey,STAR WARS: LAST SHOT,Daniel José Older,2018-05-08
1,1,0316556343,9780316556347,"Little, Brown",CIRCE,Madeline Miller,2018-05-01
2,1,125009965X,9781250099655,St. Martin's,AFTER ANNA,Lisa Scottoline,2018-05-01
3,2,1501171682,9781501171680,Simon & Schuster,I'VE GOT MY EYES ON YOU,Mary Higgins Clark,2018-05-01
4,1,0451475216,9780451475213,Ballantine,THE THIEF,JR Ward,2018-05-01
5,1,0735217203,9780735217201,Putnam,SHOOT FIRST,Stuart Woods,2018-05-01
6,2,1594488401,9781594488405,Riverhead,THE FEMALE PERSUASION,Meg Wolitzer,2018-05-01
7,1,1501138170,9781501138171,Gallery,THE SIXTH DAY,Catherine Coulter and JT Ellison,2018-05-01
8,30,0735224293,9780735224292,Penguin Press,LITTLE FIRES EVERYWHERE,Celeste Ng,2018-05-01
9,30,0425284689,9780425284681,Ballantine,BEFORE WE WERE YOURS,Lisa Wingate,2018-05-01
10,3,0316395447,9780316395441,"Little, Brown",RED ALERT,James Patterson and Marshall Karp,2018-05-01
11,3,0399176624,9780399176623,Putnam,THE DISAPPEARED,CJ Box,2018-05-01
12,10,0312577230,9780312577230,St. Martin's,THE GREAT ALONE,Kristin Hannah,2018-05-01
13,2,0062405985,9780062405982,Ecco,VARINA,Charles Frazier,2018-05-01
14,15,0062678418,9780062678416,Morrow,THE WOMAN IN THE WINDOW,AJ Finn,2018-05-01
15,1,0553419056,9780553419054,Hogarth Shakespeare,MACBETH,Jo Nesbo,2018-05-01
1,1,1501171682,9781501171680,Simon & Schuster,I'VE GOT MY EYES ON YOU,Mary Higgins Clark,2018-04-24
2,1,0525538534,9780525538530,Riverhead,THE FEMALE PERSUASION,Meg Wolitzer,2018-04-24
3,2,0399176624,9780399176623,Putnam,THE DISAPPEARED,CJ Box,2018-04-24
4,2,0316395447,9780316395441,"Little, Brown",RED ALERT,James Patterson and Marshall Karp,2018-04-24
5,9,0312577230,9780312577230,St. Martin's,THE GREAT ALONE,Kristin Hannah,2018-04-24
6,29,0735224293,9780735224292,Penguin Press,LITTLE FIRES EVERYWHERE,Celeste Ng,2018-04-24
7,29,0425284689,9780425284681,Ballantine,BEFORE WE WERE YOURS,Lisa Wingate,2018-04-24
8,3,1101884096,9781101884096,Delacorte,ACCIDENTAL HEROES,Danielle Steel,2018-04-24
9,14,0062678418,9780062678416,Morrow,THE WOMAN IN THE WINDOW,AJ Finn,2018-04-24
10,1,0062405985,9780062405982,Ecco,VARINA,Charles Frazier,2018-04-24
11,1,0062391925,9780062391926,Harper,CAVE OF BONES,Anne Hillerman,2018-04-24
12,9,1616208775,9781616208776,Algonquin,AN AMERICAN MARRIAGE,Tayari Jones,2018-04-24
13,3,0525954341,9780525954347,Viking,THE PUNISHMENT SHE DESERVES,Elizabeth George,2018-04-24
14,5,1455559520,9781455559527,Grand Central,THE ESCAPE ARTIST,Brad Meltzer,2018-04-24
15,57,0670026190,9780670026197,Viking,A GENTLEMAN IN MOSCOW,Amor Towles,2018-04-24
1,1,0399176624,9780399176623,Putnam,THE DISAPPEARED,CJ Box,2018-04-17
2,1,0316395447,9780316395441,"Little, Brown",RED ALERT,James Patterson and Marshall Karp,2018-04-17
3,2,1101884096,9781101884096,Delacorte,ACCIDENTAL HEROES,Danielle Steel,2018-04-17
4,8,0312577230,9780312577230,St. Martin's,THE GREAT ALONE,Kristin Hannah,2018-04-17
5,1,0062436635,9780062436634,Harper,TO DIE BUT ONCE,Jacqueline Winspear,2018-04-17
